#	Unicode	Freq.	Text	QN	English
1.	U+27D51	1	𧵑	của	of; to belong to; properties, belongings
2.		9999999	𧵑終	của chung	public property
3.		9999999	𧵑公	của công	public property
4.	U+5427	2	吧	và	and, also
5.	U+31EC0	3	𱻀	là	to be
6.		476	一𱻀	nhất là	foremost
7.		595	噲𱻀	gọi là	provisionally, superficial
8.		1427	如𱻀	như là	as if
9.		1508	呐𱻀	nói là	reportedly, supposedly
10.		2225	咍𱻀	hay là	or
11.		4364	或𱻀	hoặc là	or; either
12.		9999999	慄𱻀	rất là	very, extremely
13.		9999999	歐𱻀	âu là	preferably, rather
14.	U+20B20	4	𠬠	một	one
15.		726	𠬠吝	một lần	once
16.		1369	𠬠𠄧	một vài	some, several, quite a few
17.		1967	𠬠𣅶	một lúc	a moment
18.		3681	𠬠𠃣	một ít	a little bit, a tiny bit
19.		4002	𠬠堆	một đôi	a few, some
20.		4265	𡥵𠬠	con một	the only child
21.		9999999	𠬠唏	một hơi	in one go, at a stretch
22.		9999999	𠬠𤾓	một trăm	one hundred
23.		9999999	𠬠𠦳	một nghìn	one thousand
24.		9999999	𠬠丐	một cái	one (piece)
25.		9999999	𠬠兆	một triệu	one million
26.		9999999	𠬠萬	một vạn	ten thousand
27.		9999999	𠬠徊	một hồi	a while
28.	U+56FA	5	固	có	there is; to have; sure, of course (also 𣎏)
29.		72	固體	có thể	possibly, maybe; may, can
30.		1290	固𨤔	có vẻ	to seem, to look, to appear
31.		1563	固欺	có khi	sometimes; perhaps, maybe
32.		1742	固條	có điều	except, just, only that...
33.		1893	兜固	đâu có	not at all
34.		3797	固歲	có tuổi	advanced in years, aged
35.		4615	固𫯳	có chồng	to be married (woman)
36.		9999999	固權	có quyền	to have the right to
37.		9999999	固理	có lý	right, reasonable; sensible
38.		9999999	𠃣固	ít có	to be rare to find, to be scarce
39.	U+4ECD	6	仍	những	(plural marker); some; as many as
40.		3965	仍𦓡	nhưng mà	but
41.	U+2029B	7	𠊛	người	people; person; human
42.		257	𠊛些	người ta	people; they
43.		272	𡥵𠊛	con người	man, human
44.		3523	𢧚𠊛	nên người	to become a good person
45.		3529	𠊛𠸗	người xưa	the ancients, ancient people
46.		9999999	𠊛越	người việt	vietnamese person; vietnamese people
47.		9999999	命𠊛	mạng người	life
48.		9999999	𤞦𠊛	mọi người	everybody, everyone
